Wall time,Step,Value
1601166477.7331367,8,-143.12796020507812
1601166541.138131,21,-207.40634155273438
1601166554.1425607,24,-115.79142761230469
1601166690.300059,56,-102.87060546875
1601166702.3876505,59,-69.72517395019531
1601166799.9074106,82,-84.3219223022461
1601166804.0450153,83,-60.50729751586914
1601166833.8020399,90,-93.13687133789062
1601166907.7638714,107,-27.066633224487305
1601167059.2517319,142,-220.1534881591797
1601167180.1004436,170,-54.022891998291016
1601167197.747929,174,-137.54376220703125
1601167260.0047352,188,-189.90841674804688
1601167377.4460707,215,-100.8259506225586
1601167440.359328,229,-98.78150939941406
1601167473.6601465,237,-89.70769500732422
1601167516.5730112,247,-233.74012756347656
1601167591.6596642,264,-239.215087890625
1601167639.1477237,275,-181.82679748535156
1601167746.6004875,300,-137.050537109375
1601167867.4111383,328,-134.00515747070312
1601167881.2144833,331,-167.17506408691406
1601167925.7833476,341,-51.193790435791016
1601167957.583574,348,-54.815589904785156
1601168039.3693688,366,-174.7321014404297
1601168081.0038218,375,-124.67658233642578
1601168207.6619291,402,-117.11797332763672
1601168250.0696487,411,-103.99585723876953
1601168419.172263,446,-211.91079711914062
1601168462.4440398,455,-49.6883430480957
1601168709.3576946,506,-546.415283203125
1601168743.542211,513,-98.66343688964844
1601168762.5841773,517,-175.6652374267578
1601168790.208497,523,-146.71913146972656
1601168866.725639,539,-76.26709747314453
1601168919.8927102,550,-49.890869140625
1601168924.4610255,551,-50.95622253417969
1601168929.0255609,552,-108.88072967529297
1601168933.5978565,553,-224.03964233398438
1601168981.2638562,563,-159.12155151367188
1601169028.6365516,573,-111.81180572509766
1601169062.934762,580,-181.47509765625
1601169101.7581344,588,-180.64735412597656
1601169168.0477614,602,-94.0648422241211
1601169292.0815785,628,-191.055419921875
1601169444.5078835,660,-56.44502258300781
1601169458.4808133,663,-118.92310333251953
1601169482.8837094,668,-110.10132598876953
1601169593.8410382,691,-197.27536010742188
1601169618.552705,696,-207.92526245117188
1601169638.0653176,700,-84.2327880859375
1601169672.1775262,707,-153.3403778076172
1601169843.312355,742,-194.686279296875
1601169857.9469934,745,-209.0725860595703
1601169932.005638,760,-203.3932647705078
1601169941.3821201,762,-16.880273818969727
1601170093.860342,793,-132.41433715820312
1601170122.384397,799,-104.57874298095703
1601170200.3283,815,-74.30299377441406
1601170326.585352,841,-35.50674819946289
1601170365.1494536,849,-44.41948318481445
1601170393.6261005,855,-169.04173278808594
1601170494.1420348,876,-92.42040252685547
1601170527.090032,883,-181.16806030273438
1601170542.0737488,886,-159.79766845703125
1601170616.8819,901,-120.45304870605469
1601170631.5024464,904,-218.7458038330078
1601170758.7535806,930,-80.92646789550781
1601170808.1176198,940,-143.95140075683594
1601170976.485516,974,-95.26995086669922
1601171144.0186524,1008,-144.54112243652344
1601171313.2260942,1041,-186.14022827148438
1601171323.2001746,1043,-186.0086212158203
1601171383.368783,1055,-161.01068115234375
1601171462.54947,1071,-138.42689514160156
1601171556.4427643,1090,-201.8997802734375
1601171760.953328,1131,-82.544189453125
1601171770.4256175,1133,-49.47080993652344
1601171873.1655724,1154,-170.49911499023438
1601171882.6353843,1156,-117.79753875732422
1601171921.7993407,1164,-138.4197235107422
1601171946.7581716,1169,-125.66417694091797
1601171976.5434275,1175,-147.7902374267578
1601172071.2680712,1194,-107.91593933105469
1601172107.0978746,1201,-120.40782165527344
1601172151.6888204,1210,-164.54788208007812
1601172176.2556357,1215,-104.58246612548828
1601172265.4598176,1233,-83.74281311035156
1601172317.657521,1243,-121.48005676269531
1601172337.5997567,1247,-180.72357177734375
1601172353.9090235,1250,-159.35940551757812
1601172378.7815473,1255,-188.95736694335938
1601172414.8660352,1262,-236.92247009277344
1601172498.7665262,1279,-9.740382194519043
1601172614.8125756,1302,-64.68366241455078
1601172640.6262026,1307,-200.3124237060547
1601172650.803867,1309,-160.80601501464844
1601172671.3460267,1313,-137.9962921142578
1601172743.1194677,1327,-73.91116333007812
1601172986.618017,1376,-125.61858367919922
1601173190.2012098,1417,-126.35002136230469
1601173214.5856347,1422,-107.34750366210938
1601173228.8721225,1425,-134.4185028076172
1601173451.242856,1470,-82.72607421875
1601173501.292435,1480,-119.96440887451172
1601173655.1408696,1511,-78.92469787597656
1601173699.446965,1520,-147.91183471679688
1601174011.785787,1584,-74.66160583496094
1601174076.1599956,1597,-59.62495040893555
1601174096.499194,1601,-126.4720687866211
1601174186.9435258,1619,-202.8006134033203
